State,cluster
GTM,0
ARG,0
CAN,0
BRA,0
COL,-1
USA,0
MEX,0
PER,0
ESP,0
ITA,0
BGR,0
RUS,0
FRA,0
CHN,0
BOL,-1
DNK,0
FIN,0
SWE,0
CZE,0
AUT,-1
BEL,0
ECU,0
VEN,0
BGD,0
IND,-1
JPN,0
IRN,0
DEU,0
