State,cluster
GTM,0
ARG,1
CAN,1
BRA,0
COL,-1
USA,0
MEX,0
PER,1
ESP,0
ITA,1
BGR,0
RUS,0
FRA,-1
CHN,0
BOL,-1
DNK,0
FIN,0
SWE,1
CZE,0
AUT,-1
BEL,0
ECU,0
VEN,0
BGD,0
IND,-1
JPN,0
IRN,0
DEU,-1
